pdist	gdist	derEHH	ancEHH	EHH
-1999489	-1.634132	0.000000	0.000000	0.000000
-1999289	-1.634064	0.000000	0.000000	0.000000
-1998764	-1.633911	0.000000	0.000000	0.000000
-1998749	-1.633906	0.000000	0.000000	0.000000
-1998719	-1.633897	0.000000	0.000000	0.000000
-1998492	-1.633831	0.000000	0.000000	0.000000
-1998071	-1.633708	0.000000	0.000000	0.000000
-1997821	-1.633635	0.000000	0.000000	0.000000
-1997099	-1.633424	0.000000	0.000000	0.000000
-1996784	-1.633332	0.000000	0.000000	0.000000
-1995335	-1.632920	0.000000	0.000000	0.000000
-1994451	-1.632669	0.000000	0.000000	0.000000
-1993196	-1.632313	0.000000	0.000000	0.000000
-1991808	-1.631919	0.000000	0.000000	0.000000
-1991546	-1.631845	0.000000	0.000000	0.000000
-1990812	-1.631134	0.000000	0.000000	0.000000
-1990453	-1.629145	0.000000	0.000000	0.000000
-1989309	-1.622436	0.000000	0.000000	0.000000
-1988918	-1.619965	0.000000	0.000000	0.000000
-1985335	-1.597349	0.000000	0.000000	0.000000
-1985118	-1.595980	0.000000	0.000000	0.000000
-1984376	-1.562644	0.000000	0.000000	0.000000
-1982923	-1.495867	0.000000	0.000000	0.000000
-1982696	-1.495578	0.000000	0.000000	0.000000
-1982502	-1.495329	0.000000	0.000000	0.000000
-1982102	-1.494047	0.000000	0.000000	0.000000
-1981594	-1.493377	0.000000	0.000000	0.000000
-1981532	-1.493369	0.000000	0.000000	0.000000
-1981344	-1.493345	0.000000	0.000000	0.000000
-1980659	-1.493260	0.000000	0.000000	0.000000
-1978850	-1.492980	0.000000	0.000000	0.000000
-1978848	-1.492980	0.000000	0.000000	0.000000
-1978846	-1.492979	0.000000	0.000000	0.000000
-1978819	-1.492971	0.000000	0.000000	0.000000
-1978570	-1.492892	0.000000	0.000000	0.000000
-1977449	-1.492539	0.000000	0.000000	0.000000
-1977346	-1.492507	0.000000	0.000000	0.000000
-1977216	-1.492466	0.000000	0.000000	0.000000
-1977122	-1.492458	0.000000	0.000000	0.000000
-1976540	-1.492408	0.000000	0.000000	0.000000
-1976495	-1.492405	0.000000	0.000000	0.000000
-1976245	-1.492394	0.000000	0.000000	0.000000
-1976053	-1.492389	0.000000	0.000000	0.000000
-1975731	-1.492382	0.000000	0.000000	0.000000
-1975204	-1.492371	0.000000	0.000000	0.000000
-1975132	-1.492370	0.000000	0.000000	0.000000
-1974992	-1.492367	0.000000	0.000000	0.000000
-1974901	-1.492365	0.000000	0.000000	0.000000
-1974458	-1.492356	0.000000	0.000000	0.000000
-1973892	-1.492345	0.000000	0.000000	0.000000
-1973458	-1.492337	0.000000	0.000000	0.000000
-1972635	-1.492316	0.000000	0.000000	0.000000
-1972512	-1.492310	0.000000	0.000000	0.000000
-1972491	-1.492306	0.000000	0.000000	0.000000
-1971540	-1.491967	0.000000	0.000000	0.000000
-1971431	-1.491926	0.000000	0.000000	0.000000
-1971358	-1.491899	0.000000	0.000000	0.000000
-1971199	-1.491839	0.000000	0.000000	0.000000
-1970729	-1.491663	0.000000	0.000000	0.000000
-1970541	-1.491593	0.000000	0.000000	0.000000
-1970364	-1.491526	0.000000	0.000000	0.000000
-1970153	-1.491447	0.000000	0.000000	0.000000
-1970090	-1.491422	0.000000	0.000000	0.000000
-1969347	-1.491122	0.000000	0.000000	0.000000
-1969136	-1.490995	0.000000	0.000000	0.000000
-1969013	-1.490879	0.000000	0.000000	0.000000
-1968872	-1.490745	0.000000	0.000000	0.000000
