pdist	gdist	derEHH	ancEHH	EHH
-1999484	-1.634132	0.000295	0.000926	0.000256
-1999284	-1.634064	0.000295	0.000926	0.000256
-1998796	-1.633921	0.000295	0.000926	0.000256
-1998759	-1.633911	0.000295	0.000926	0.000256
-1998744	-1.633906	0.000295	0.000926	0.000256
-1998714	-1.633897	0.000295	0.000926	0.000256
-1998487	-1.633831	0.000295	0.000926	0.000256
-1998066	-1.633708	0.000295	0.000926	0.000256
-1997816	-1.633635	0.000295	0.000926	0.000256
-1997094	-1.633424	0.000295	0.000926	0.000256
-1996917	-1.633372	0.000295	0.000926	0.000256
-1996779	-1.633332	0.000295	0.000926	0.000256
-1995330	-1.632920	0.000295	0.000926	0.000256
-1994446	-1.632669	0.000295	0.000926	0.000256
-1993692	-1.632455	0.000295	0.000926	0.000256
-1993191	-1.632313	0.000295	0.000926	0.000256
-1991803	-1.631919	0.000295	0.000926	0.000256
-1991541	-1.631845	0.000295	0.000926	0.000256
-1990807	-1.631134	0.000295	0.000926	0.000256
-1990448	-1.629145	0.000295	0.000926	0.000256
-1989304	-1.622436	0.000295	0.000926	0.000256
-1988913	-1.619965	0.000295	0.000926	0.000256
-1987716	-1.612404	0.000295	0.000926	0.000256
-1985528	-1.598597	0.000295	0.000926	0.000256
-1985330	-1.597349	0.000295	0.000926	0.000256
-1985280	-1.597033	0.000295	0.000926	0.000256
-1985113	-1.595980	0.000295	0.000926	0.000256
-1984371	-1.562644	0.000442	0.000926	0.000308
-1983158	-1.506897	0.000442	0.000926	0.000308
-1982918	-1.495867	0.000442	0.000926	0.000308
-1982691	-1.495578	0.000442	0.000926	0.000308
-1982497	-1.495329	0.000442	0.000926	0.000308
-1982097	-1.494047	0.000442	0.000926	0.000308
-1981961	-1.493854	0.000442	0.000926	0.000308
-1981589	-1.493377	0.000442	0.000926	0.000308
-1981527	-1.493369	0.000442	0.000926	0.000308
-1981339	-1.493345	0.000589	0.000926	0.000359
-1980654	-1.493260	0.000589	0.000926	0.000359
-1978845	-1.492980	0.000589	0.000926	0.000359
-1978843	-1.492980	0.000589	0.000926	0.000359
-1978841	-1.492979	0.000589	0.000926	0.000359
-1978814	-1.492970	0.000589	0.000926	0.000359
-1978565	-1.492892	0.000589	0.000926	0.000359
-1977444	-1.492539	0.000589	0.000926	0.000359
